"","BOROUGH","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","SALE.PRICE"
"78312",5,"946","1176",1988,1,0,1,"339000"
"78313",5,"688","1068",1989,1,0,1,"262900"
"78314",5,"688","1056",1988,1,0,1,"290000"
"78315",5,"688","1050",1988,1,0,1,"349000"
"78316",5,"688","1056",1988,1,0,1,"330000"
"78322",5,"2578","1248",1983,1,0,1,"430000"
"78323",5,"2578","1248",1983,1,0,1,"475000"
"78327",5,"1717","1440",1984,1,0,1,"430000"
"78328",5,"2257","1440",1984,1,0,1,"334620"
"78335",5,"1536","1440",1985,1,0,1,"400000"
"78337",5,"2162","1880",1980,1,0,1,"460000"
"78338",5,"1536","1530",1982,1,0,1,"395000"
"78339",5,"1536","1530",1982,1,0,1,"420000"
"78340",5,"1536","1350",1980,1,0,1,"390000"
"78342",5,"3826","2355",1980,1,0,1,"615000"
"78355",5,"3216","1830",1986,1,0,1,"510000"
"78356",5,"2555","1536",1998,1,0,1,"250000"
"78366",5,"2625","1360",1981,1,0,1,"520000"
"78385",5,"5124","974",1960,1,0,1,"440000"
"78386",5,"2438","1540",1994,1,0,1,"565000"
"78388",5,"2725","1638",1998,1,0,1,"492000"
"78390",5,"6622","1288",1960,1,0,1,"545000"
"78394",5,"4713","2245",2005,1,0,1,"580000"
"78404",5,"3276","944",1991,1,0,1,"330000"
"78410",5,"2445","1296",1994,1,0,1,"469700"
"78412",5,"1656","1260",1994,1,0,1,"515000"
"78414",5,"2568","1232",1975,1,0,1,"450000"
"78420",5,"2376","1232",1965,1,0,1,"499200"
"78428",5,"2376","1312",1970,1,0,1,"450000"
"78440",5,"8475","1204",1960,1,0,1,"300000"
"78446",5,"2945","1296",1965,1,0,1,"465000"
"78450",5,"8976","2165",1925,1,0,1,"930000"
"78459",5,"13596","2169",1899,1,0,1,"780000"
"78487",5,"1533","1020",1991,1,0,1,"86000"
"78488",5,"5184","880",1960,1,0,1,"570000"
"78494",5,"2375","1600",2001,1,0,1,"325000"
"78505",5,"3763","1200",2005,1,0,1,"635000"
"78513",5,"6471","1300",1950,1,0,1,"395000"
"78514",5,"2494","1024",1965,1,0,1,"440000"
"78549",5,"3325","2000",2006,1,0,1,"720000"
